Any,Codi País,Nacionalitat,Població
2021,AFG,Afganistan,273
2021,ALB,Albània,1714
2021,DEU,Alemanya,18635
2021,DZA,Algèria,9317
2021,,Amèrica. No consta pais,10
2021,AND,Andorra,964
2021,AGO,Angola,178
2021,ATG,Antigua i Barbuda,8
2021,,Apàtrides,175
2021,ARG,Argentina,24676
2021,ARM,Armènia,4379
2021,SAU,Aràbia Saudita,161
2021,AUS,Austràlia,787
2021,AZE,Azerbaidjan,232
2021,BHS,Bahames,21
2021,BHR,Bahrain,8
2021,BGD,Bangla Desh,9108
2021,BRB,Barbados,10
2021,BLZ,Belize,4
2021,BEN,Benín,67
2021,BTN,Bhutan,4
2021,BLR,Bielorússia,1846
2021,BOL,Bolívia,26200
2021,BWA,Botswana,8
2021,BRA,Brasil,22263
2021,BRN,Brunei,4
2021,BGR,Bulgària,11095
2021,BFA,Burkina Faso,278
2021,BDI,Burundi,6
2021,BEL,Bèlgica,5387
2021,BIH,Bòsnia i Hercegovina,319
2021,KHM,Cambodja,13
2021,CMR,Camerun,1342
2021,CAN,Canadà,1354
2021,CPV,Cap Verd,71
2021,CAF,"Centreafricana República",42
2021,COL,Colòmbia,50226
2021,COM,Comores,6
2021,COG,Congo,222
2021,COD,"Congo República Democràtica d",71
2021,COK,"Cook illes",4
2021,PRK,"Corea República Democràtica P",10
2021,KOR,"Corea República de",1154
2021,CRI,Costa Rica,813
2021,CIV,Costa d'Ivori,850
2021,HRV,Croàcia,887
2021,CUB,Cuba,9143
2021,DNK,Dinamarca,1292
2021,DJI,Djibouti,4
2021,DMA,Dominica,209
2021,DOM,"Dominicana República",19107
2021,EGY,Egipte,1445
2021,ECU,Equador,24122
2021,ERI,Eritrea,17
2021,SVK,Eslovàquia,1269
2021,SVN,Eslovènia,380
2021,USA,Estats Units d'Amèrica,8802
2021,EST,Estònia,493
2021,ETH,Etiòpia,108
2021,,Europa. No consta pais,31
2021,FJI,Fiji,4
2021,PHL,Filipines,11765
2021,FIN,Finlàndia,978
2021,ATF,França,36246
2021,GAB,Gabon,23
2021,GEO,Geòrgia,9377
2021,GHA,Ghana,7608
2021,GRD,Grenada,5
2021,GRC,Grècia,1869
2021,GTM,Guatemala,1051
2021,GIN,Guinea,4178
2021,GNB,Guinea Bissau,805
2021,GNQ,Guinea Equatorial,1355
2021,GUY,Guyana,9
2021,GMB,Gàmbia,15477
2021,HTI,Haití,123
2021,HND,Hondures,51110
2021,HUN,Hongria,1993
2021,YEM,Iemen,69
2021,IDN,Indonèsia,319
2021,IRN,Iran,1778
2021,IRQ,Iraq,253
2021,IRL,Irlanda,2592
2021,ISL,Islàndia,172
2021,ISR,Israel,1026
2021,ITA,Itàlia,70511
2021,JAM,Jamaica,25
2021,JPN,Japó,2297
2021,JOR,Jordània,304
2021,KAZ,Kazakhstan,966
2021,KEN,Kenya,193
2021,KGZ,Kirguizistan,129
2021,,Kiribati,0
2021,KWT,Kuwait,31
2021,LAO,Laos,9
2021,LSO,Lesotho,4
2021,LVA,Letònia,1024
2021,LBR,Libèria,32
2021,LIE,Liechtenstein,6
2021,LTU,Lituània,2182
2021,LUX,Luxemburg,150
2021,LBN,Líban,926
2021,LBY,Líbia,264
2021,MKD,Macedònia,213
2021,MDG,Madagascar,37
2021,MWI,Malawi,15
2021,MDV,Maldives,11
2021,MLI,Mali,8119
2021,MLT,Malta,102
2021,MYS,Malàisia,138
2021,MAR,Marroc,238192
2021,MHL,Marshall,4
2021,MUS,Maurici,36
2021,MRT,Mauritània,1512
2021,FSM,"Micrònesia Estats Federats de",4
2021,MDA,Moldàvia,4485
2021,MNG,Mongòlia,108
2021,MNE,Montenegro,134
2021,MOZ,Moçambic,74
2021,MMR,Myanma,11
2021,MEX,Mèxic,7217
2021,MCO,Mònaco,4
2021,NAM,Namíbia,17
2021,NRU,Nauru,0
2021,NPL,Nepal,2412
2021,NIC,Nicaragua,3864
2021,NGA,Nigèria,6440
2021,BVT,Noruega,704
2021,NOR,Noruega,704
2021,NZL,Nova Zelanda,208
2021,NER,Níger,86
2021,,Oceania. No consta pais,4
2021,OMN,Oman,11
2021,PAK,Pakistan,55421
2021,PLW,Palau,4
2021,PSE,Palestina,221
2021,PAN,Panamà,613
2021,PNG,Papua Nova Guinea,0
2021,PRY,Paraguai,15618
2021,NLD,Països Baixos,9390
2021,PER,Perú,28902
2021,POL,Polònia,10089
2021,PRT,Portugal,14120
2021,QAT,Qatar,13
2021,GBR,Regne Unit,23940
2021,ROU,Romania,87704
2021,RWA,Rwanda,79
2021,RUS,Rússia,25093
2021,KNA,Saint Christopher i Nevis,4
2021,LCA,Saint Lucia,4
2021,VCT,Saint Vincent i les Grenadines,4
2021,SLB,Salomó,4
2021,SLV,"Salvador el",6442
2021,WSM,Samoa Occidental,0
2021,SMR,San Marino,4
2021,SEN,Senegal,24717
2021,SYC,Seychelles,7
2021,SLE,Sierra Leone,118
2021,SGP,Singapur,104
2021,SOM,Somàlia,42
2021,LKA,Sri Lanka,49
2021,ZAF,"Sud-àfrica República de",410
2021,SDN,Sudan,65
2021,SSD,Sudan del Sud,4
2021,SUR,Surinam,6
2021,SWE,Suècia,2975
2021,CHE,Suïssa,2702
2021,SWZ,Swazilàndia,4
2021,STP,São Tomé i Príncipe,11
2021,SRB,Sèrbia,1425
2021,SYR,Síria,1387
2021,TJK,Tadjikistan,17
2021,THA,Tailàndia,510
2021,TWN,Taiwan,0
2021,TZA,Tanzània,82
2021,TLS,Timor Oriental,0
2021,TGO,Togo,85
2021,TON,Tonga,0
2021,TTO,Trinitat i Tobago,22
2021,TUN,Tunísia,746
2021,TKM,Turkmenistan,20
2021,TUR,Turquia,1978
2021,TUV,Tuvalu,0
2021,TCD,Txad,8
2021,CZE,"Txeca República",1554
2021,UKR,Ucraïna,23619
2021,UGA,Uganda,31
2021,,Ultramar,0
2021,ARE,Unió dels Emirats Àrabs,25
2021,URY,Uruguai,8255
2021,UZB,Uzbekistan,265
2021,VUT,Vanuatu,0
2021,VAT,Vaticà,4
2021,VEN,Veneçuela,31259
2021,VNM,Vietnam,843
2021,CHL,Xile,9840
2021,CHN,Xina,63753
2021,CYP,Xipre,220
2021,ZWE,Zimbabwe,32
2021,ZMB,Zàmbia,12
2021,,Àfrica.No consta pais,52
2021,,Àsia . No consta pais,233
2021,AUT,Àustria,1456
2021,IND,Índia,29064

